county,results_precinct_id,geo_precinct_id,match_method
ALAMANCE,03C,03C,exact
ALAMANCE,03N,03N,exact
ALAMANCE,03N2,03N2,exact
ALAMANCE,03SE,03SE,exact
ALAMANCE,03SM,03SM,exact
ALAMANCE,03W,03W,exact
ALAMANCE,06E,06E,exact
ALAMANCE,06N,06N,exact
ALAMANCE,06S,06S,exact
ALAMANCE,06W,06W,exact
ALAMANCE,08N,08N,exact
ALAMANCE,08S,08S,exact
ALAMANCE,09N,09N,exact
ALAMANCE,09S,09S,exact
ALAMANCE,1,01,leading_zero
ALAMANCE,103,103,exact
ALAMANCE,104,104,exact
ALAMANCE,10N,10N,exact
ALAMANCE,10S1,10S1,exact
ALAMANCE,11,11,exact
ALAMANCE,1210,1210,exact
ALAMANCE,124,124,exact
ALAMANCE,125,125,exact
ALAMANCE,126,126,exact
ALAMANCE,127,127,exact
ALAMANCE,128,128,exact
ALAMANCE,129,129,exact
ALAMANCE,12E,12E,exact
ALAMANCE,12N,12N,exact
ALAMANCE,12S,12S,exact
ALAMANCE,12W,12W,exact
ALAMANCE,13,13,exact
ALAMANCE,2,02,leading_zero
ALAMANCE,35,035,leading_zero
ALAMANCE,4,04,leading_zero
ALAMANCE,5,05,leading_zero
ALAMANCE,63,063,leading_zero
ALAMANCE,64,064,leading_zero
ALAMANCE,7,07,leading_zero
ALEXANDER,B1,B1,exact
ALEXANDER,B2,B2,exact
ALEXANDER,E,E,exact
ALEXANDER,G1G2,G1G2,exact
ALEXANDER,LRSL,LRSL,exact
ALEXANDER,M,M,exact
ALEXANDER,S1S2,S1S2,exact
ALEXANDER,T1T4T5,T1T4T5,exact
ALEXANDER,T2T3,T2T3,exact
ALEXANDER,W,W,exact
ALLEGHANY,03A,03A,exact
ALLEGHANY,06A,06A,exact
ALLEGHANY,1,01,leading_zero
ALLEGHANY,4,04,leading_zero
ANSON,ANS,ANS,exact
ANSON,BURN,BURN,exact
ANSON,GULL,GULL,exact
ANSON,LILE,LILE,exact
ANSON,MM,MM,exact
ANSON,PEAC,PEAC,exact
ANSON,POLK,POLK,exact
ANSON,WADES,WADES,exact
ANSON,WS,WS,exact
ASHE,10,10,exact
ASHE,11,11,exact
ASHE,12,12,exact
ASHE,13,13,exact
ASHE,14,14,exact
ASHE,15,15,exact
ASHE,16,16,exact
ASHE,17,17,exact
ASHE,18,18,exact
ASHE,2,02,leading_zero
ASHE,20,20,exact
ASHE,3,03,leading_zero
ASHE,4,04,leading_zero
ASHE,6,06,leading_zero
ASHE,7,07,leading_zero
ASHE,8,08,leading_zero
ASHE,9,09,leading_zero
AVERY,1,01,leading_zero
AVERY,10,10,exact
AVERY,11,11,exact
AVERY,12,12,exact
AVERY,13,13,exact
AVERY,14,14,exact
AVERY,15,15,exact
AVERY,16,16,exact
AVERY,17,17,exact
AVERY,18,18,exact
AVERY,19,19,exact
AVERY,2,02,leading_zero
AVERY,3,03,leading_zero
AVERY,4,04,leading_zero
AVERY,5,05,leading_zero
AVERY,6,06,leading_zero
AVERY,7,07,leading_zero
AVERY,8,08,leading_zero
AVERY,9,09,leading_zero
BEAUFORT,AUROR,AUROR,exact
BEAUFORT,BEADM,BEADM,exact
BEAUFORT,BELHV,BELHV,exact
BEAUFORT,BLCK,BLCK,exact
BEAUFORT,CHOCO,CHOCO,exact
BEAUFORT,EDWAR,EDWAR,exact
BEAUFORT,GILEA,GILEA,exact
BEAUFORT,HB,HB,exact
BEAUFORT,NCRK,NCRK,exact
BEAUFORT,OLDF,OLDF,exact
BEAUFORT,PANTE,PANTE,exact
BEAUFORT,PINET,PINET,exact
BEAUFORT,PSJW3,PSJW3,exact
BEAUFORT,RVRD,RVRD,exact
BEAUFORT,SURBA,SURBA,exact
BEAUFORT,TCRK,TCRK,exact
BEAUFORT,WASH1,WASH1,exact
BEAUFORT,WASH2,WASH2,exact
BEAUFORT,WASH4,WASH4,exact
BEAUFORT,WASHP,WASHP,exact
BEAUFORT,WDPD,WDPD,exact
BERTIE,C1,C1,exact
BERTIE,C2,C2,exact
BERTIE,IW,IW,exact
BERTIE,M1,M1,exact
BERTIE,M2,M2,exact
BERTIE,MH,MH,exact
BERTIE,RX,RX,exact
BERTIE,SN,SN,exact
BERTIE,W1,W1,exact
BERTIE,W2,W2,exact
BERTIE,WD,WD,exact
BERTIE,WH,WH,exact
BLADEN,P10,P10,exact
BLADEN,P15,P15,exact
BLADEN,P201,P201,exact
BLADEN,P202,P202,exact
BLADEN,P25,P25,exact
BLADEN,P30,P30,exact
BLADEN,P35,P35,exact
BLADEN,P40,P40,exact
BLADEN,P45,P45,exact
BLADEN,P501,P501,exact
BLADEN,P502,P502,exact
BLADEN,P55,P55,exact
BLADEN,P60,P60,exact
BLADEN,P65,P65,exact
BLADEN,P70,P70,exact
BLADEN,P75,P75,exact
BLADEN,P80,P80,exact
BRUNSWICK,CB01,CB01,exact
BRUNSWICK,CB02,CB02,exact
BRUNSWICK,CB03,CB03,exact
BRUNSWICK,CB04,CB04,exact
BRUNSWICK,CB05,CB05,exact
BRUNSWICK,CB06,CB06,exact
BRUNSWICK,NB01,NB01,exact
BRUNSWICK,NB02,NB02,exact
BRUNSWICK,NB03,NB03,exact
BRUNSWICK,NB04,NB04,exact
BRUNSWICK,NB05,NB05,exact
BRUNSWICK,NB06,NB06,exact
BRUNSWICK,NB07,NB07,exact
BRUNSWICK,SB01,SB01,exact
BRUNSWICK,SB02,SB02,exact
BRUNSWICK,SB03,SB03,exact
BRUNSWICK,SB04,SB04,exact
BRUNSWICK,SB05,SB05,exact
BRUNSWICK,SB06,SB06,exact
BRUNSWICK,SB07,SB07,exact
BRUNSWICK,SB08,SB08,exact
